OBJECTID,Region,LANSLU,Soil_Subgroup,Shape_Area,Shape_Length,Primary_Soil_Classification,Primary_Soil_Value,Secondary_Soil_Classification,Secondary_Soil_Value,Tertiary_Soil_Classification,Tertiary_Soil_Value,Total_Soil_Classifications_Count,Total_Soil_Classification_Value
24821,MID MURRAY COUNCIL,MANQMA,B2,0.001465397,0.280765677,B2,65,A4,20,B3,15,3,100
24824,MID MURRAY COUNCIL,TUNAnY,L1,0.000219465,0.099076886,L1,55,K5,20,K3,15,4,100
24825,THE DC OF LOXTON WAIKERIE,HALHqA,C1,0.0001973,0.125400871,C1,55,D3,20,G2,15,4,100
24826,THE DC OF KAROONDA EAST MURRAY,HALQOZ,B2,0.000405678,0.174408059,B2,41.25,B3,33.75,H2,25,3,100
24827,THE DC OF LOXTON WAIKERIE,MINGtA,G2,0.000175054,0.08478144,G2,41.25,H2,25,G1,15,5,100
24829,THE DC OF LOXTON WAIKERIE,MINUNE,H2,0.000656443,0.462468763,H2,65,G2,19.25,C1,7,5,100
24833,MID MURRAY COUNCIL,PUNJKJ,M4,0.000145736,0.113885666,M4,40,A3,30.1,M1,29.9,3,100
24835,THE DC OF LOXTON WAIKERIE,HALHgE,C1,5.62E-05,0.044455961,C1,80,B2,20,None,0,2,100
24837,THE DC OF LOXTON WAIKERIE,HALUNK,H2,6.02E-05,0.045294149,H2,55,C1,15.75,G2,13.5,5,100
24838,THE DC OF LOXTON WAIKERIE,MINUUG,H2,2.63E-05,0.030506806,H2,65,B2,15.75,A4,12.25,4,100
24839,THE DC OF KAROONDA EAST MURRAY,HALUNK,H2,0.00029164,0.149246215,H2,55,C1,15.75,G2,13.5,5,100
24845,THE DC OF LOXTON WAIKERIE,WABSdA,A4,2.55E-05,0.0243586,A4,35,B2,30,B3,15,5,100
24847,THE DC OF KAROONDA EAST MURRAY,WABUMF,H2,2.17E-05,0.027466735,H2,42.25,G3,13,A4,12.25,7,100
24848,THE DC OF KAROONDA EAST MURRAY,BANQJZ,B2,9.55E-06,0.012507043,B2,100,None,0,None,0,1,100
24849,THE DC OF LOXTON WAIKERIE,HALHqA,C1,7.17E-05,0.038444629,C1,55,D3,20,G2,15,4,100
24852,THE DC OF KAROONDA EAST MURRAY,BANRCE,B3,8.49E-05,0.048430391,B3,80,B2,20,None,0,2,100
24853,THE DC OF KAROONDA EAST MURRAY,BANRCE,B3,0.000102109,0.03831002,B3,80,B2,20,None,0,2,100
24855,THE DC OF LOXTON WAIKERIE,WABUMF,H2,4.31E-05,0.029915823,H2,42.25,G3,13,A4,12.25,7,100
24856,MID MURRAY COUNCIL,NAHQHA,B2,2.97E-05,0.021104742,B2,100,None,0,None,0,1,100
24858,THE DC OF LOXTON WAIKERIE,WABSdA,A4,4.64E-05,0.03696716,A4,35,B2,30,B3,15,5,100
24860,THE DC OF KAROONDA EAST MURRAY,BANQOZ,B2,4.70E-05,0.032856924,B2,75,H2,25,None,0,2,100
24861,THE DC OF LOXTON WAIKERIE,HALUNI,H2,6.08E-05,0.045435337,H2,45,C1,19.25,G2,16.5,5,100
24869,THE DC OF KAROONDA EAST MURRAY,WABUMF,H2,2.79E-05,0.03067772,H2,42.25,G3,13,A4,12.25,7,100
24870,THE DC OF KAROONDA EAST MURRAY,WABUMF,H2,1.98E-05,0.022734137,H2,42.25,G3,13,A4,12.25,7,100
24871,MID MURRAY COUNCIL,MPLLTe,F2,3.46E-05,0.03673591,F2,35,F1,30,M1,20,4,100
24872,MID MURRAY COUNCIL,HOHLTe,F2,2.22E-05,0.03387244,F2,35,F1,30,M1,20,4,100
24874,THE DC OF LOXTON WAIKERIE,MINUNF,H2,0.0002446,0.193424536,H2,65,G2,19.25,C1,7,5,100
24876,MID MURRAY COUNCIL,TUNAmC,K4,0.000183276,0.11100399,K4,35,L1,30,K5,20,4,100
24879,THE DC OF KAROONDA EAST MURRAY,HALQOZ,B2,0.000763466,0.331574001,B2,41.25,B3,33.75,H2,25,3,100
24881,THE DC OF LOXTON WAIKERIE,HALUNF,H2,0.000170823,0.078839702,H2,65,C1,12.25,G2,10.5,5,100
24882,MID MURRAY COUNCIL,APAHFA,D3,0.000835709,0.153320598,D3,80,D7,20,None,0,2,100
24885,MID MURRAY COUNCIL,HOHBqD,K2,3.43E-05,0.029805115,K2,35,K3,30,L1,15,5,100
24886,MID MURRAY COUNCIL,HOHAoI,K2,0.000241795,0.116743049,K2,35,L1,30,K4,15,5,100
24887,THE DC OF KAROONDA EAST MURRAY,KUNHkA,C1,4.28E-05,0.034206002,C1,45,D2,35,G1,20,3,100
24888,THE DC OF LOXTON WAIKERIE,HALOAE,H3,4.81E-05,0.04046513,H3,75,G2,25,None,0,2,100
24889,MID MURRAY COUNCIL,SAUSSH,A4,9.31E-05,0.046336203,A4,80,B8,20,None,0,2,100
24890,THE DC OF KAROONDA EAST MURRAY,KUNSkB,A4,0.001552962,0.474591519,A4,39,H2,25,C1,15.75,5,100
24891,THE DC OF LOXTON WAIKERIE,MINUNE,H2,8.97E-05,0.083716612,H2,65,G2,19.25,C1,7,5,100
24892,THE DC OF KAROONDA EAST MURRAY,MINGtA,G2,0.000116545,0.063041814,G2,41.25,H2,25,G1,15,5,100
24897,MID MURRAY COUNCIL,REEAgB,L1,2.97E-06,0.006279669,L1,55,C2,45,None,0,2,100
24898,THE DC OF KAROONDA EAST MURRAY,HALHqA,C1,3.87E-05,0.024399313,C1,55,D3,20,G2,15,4,100
24899,MID MURRAY COUNCIL,MANSfB,A4,0.000151407,0.051568933,A4,50,B2,25,H2,25,3,100
24900,THE DC OF KAROONDA EAST MURRAY,KUNHkA,C1,1.67E-05,0.015411433,C1,45,D2,35,G1,20,3,100
24901,THE DC OF LOXTON WAIKERIE,HALQOZ,B2,2.60E-05,0.024073858,B2,41.25,B3,33.75,H2,25,3,100
24902,THE DC OF LOXTON WAIKERIE,MINUNE,H2,3.86E-05,0.038088425,H2,65,G2,19.25,C1,7,5,100
24905,THE DC OF KAROONDA EAST MURRAY,MANRCE,B3,4.89E-06,0.009124333,B3,55,B2,45,None,0,2,100
24906,MID MURRAY COUNCIL,LMVA-l,RR,0.000327037,0.229156256,RR,100,None,0,None,0,1,100
24910,THE DC OF KAROONDA EAST MURRAY,KUNHkA,C1,1.50E-05,0.014556048,C1,45,D2,35,G1,20,3,100
24912,THE DC OF KAROONDA EAST MURRAY,MANRCE,B3,1.00E-05,0.011586103,B3,55,B2,45,None,0,2,100
24915,THE DC OF KAROONDA EAST MURRAY,HALHqA,C1,0.004079956,1.327983606,C1,55,D3,20,G2,15,4,100
24917,THE DC OF LOXTON WAIKERIE,MINQOB,B2,0.000152548,0.074278601,B2,41.25,A4,33.75,H2,25,3,100
24918,THE DC OF KAROONDA EAST MURRAY,MANRCE,B3,1.24E-05,0.01288662,B3,55,B2,45,None,0,2,100
24920,THE DC OF KAROONDA EAST MURRAY,MINUNF,H2,4.64E-05,0.033677844,H2,65,G2,19.25,C1,7,5,100
24922,MID MURRAY COUNCIL,MANSdA,A4,4.14E-05,0.030516098,A4,75,B2,25,None,0,2,100
24925,MID MURRAY COUNCIL,NAHQHA,B2,1.79E-05,0.019345038,B2,100,None,0,None,0,1,100
24927,THE DC OF KAROONDA EAST MURRAY,BANRCA,B3,0.000238392,0.128745879,B3,80,B2,20,None,0,2,100
24931,MID MURRAY COUNCIL,SAUSGC,A4,9.48E-05,0.070981684,A4,85,H2,15,None,0,2,100
24936,THE DC OF LOXTON WAIKERIE,WABSdA,A4,3.52E-05,0.029852473,A4,35,B2,30,B3,15,5,100
24937,THE DC OF KAROONDA EAST MURRAY,KUNHkA,C1,1.74E-05,0.018932716,C1,45,D2,35,G1,20,3,100
24939,THE DC OF KAROONDA EAST MURRAY,BANUMf,H2,0.000124649,0.053542092,H2,45,B3,22,A4,16.555,4,100
24942,THE DC OF KAROONDA EAST MURRAY,BANUUJ,B2,5.19E-05,0.032439258,B2,55,H2,45,None,0,2,100
24945,THE DC OF KAROONDA EAST MURRAY,WABUMJ,H2,0.000145239,0.071776408,H2,29.25,A4,19.25,B2,16.5,7,100
24946,MID MURRAY COUNCIL,TUNLVe,M1,4.89E-05,0.066541505,M1,45,F2,35,G3,20,3,100
24950,THE DC OF LOXTON WAIKERIE,MINUNE,H2,7.20E-05,0.071545879,H2,65,G2,19.25,C1,7,5,100
24951,MID MURRAY COUNCIL,SAUSSI,A4,0.00019365,0.0830905,A4,80,B8,20,None,0,2,100
24952,THE DC OF LOXTON WAIKERIE,HALQOZ,B2,0.000272458,0.111370147,B2,41.25,B3,33.75,H2,25,3,100
24957,THE DC OF LOXTON WAIKERIE,HALUNF,H2,1.71E-05,0.019584345,H2,65,C1,12.25,G2,10.5,5,100
24958,MID MURRAY COUNCIL,TUNAnC,L1,3.79E-05,0.034185017,L1,55,K5,20,K3,15,4,100
24959,THE DC OF LOXTON WAIKERIE,MINUUJ,H2,3.36E-05,0.028541361,H2,45,B2,24.75,A4,19.25,4,100
24960,THE DC OF LOXTON WAIKERIE,MINGtA,G2,0.00018482,0.098119151,G2,41.25,H2,25,G1,15,5,100
24961,MID MURRAY COUNCIL,BANScG,A4,0.00055544,0.125217407,A4,55.25,B2,17,H2,15,4,100
24962,THE DC OF KAROONDA EAST MURRAY,HALHqA,C1,0.001018854,0.325243947,C1,55,D3,20,G2,15,4,100
24963,THE DC OF KAROONDA EAST MURRAY,HALOAE,H3,9.21E-05,0.074782904,H3,75,G2,25,None,0,2,100
24964,THE DC OF LOXTON WAIKERIE,MINUUG,H2,0.000147157,0.093982888,H2,65,B2,15.75,A4,12.25,4,100
24965,THE DC OF LOXTON WAIKERIE,MINQOB,B2,2.13E-05,0.01906309,B2,41.25,A4,33.75,H2,25,3,100
24966,MID MURRAY COUNCIL,REEJUH,D2,0.00033189,0.165455813,D2,55,C3,20,M4,15,4,100
24967,MID MURRAY COUNCIL,SAUSSI,A4,0.000367646,0.217188037,A4,80,B8,20,None,0,2,100
24968,THE DC OF LOXTON WAIKERIE,MINQOB,B2,9.35E-05,0.057849185,B2,41.25,A4,33.75,H2,25,3,100
24970,THE DC OF LOXTON WAIKERIE,HALHqA,C1,6.49E-05,0.037948237,C1,55,D3,20,G2,15,4,100
24972,THE DC OF KAROONDA EAST MURRAY,MINUNJ,H2,0.000267529,0.163916435,H2,45,G2,30.25,C1,11,5,100
24973,THE DC OF LOXTON WAIKERIE,MINUNF,H2,7.82E-05,0.056281907,H2,65,G2,19.25,C1,7,5,100
24975,THE DC OF LOXTON WAIKERIE,MINUUJ,H2,0.000101774,0.06845984,H2,45,B2,24.75,A4,19.25,4,100
24976,THE DC OF KAROONDA EAST MURRAY,KUNHqA,A4,0.000165329,0.093123871,A4,35,C1,29.25,D2,22.75,4,100
24977,THE DC OF KAROONDA EAST MURRAY,HALUNK,H2,0.000232942,0.106435256,H2,55,C1,15.75,G2,13.5,5,100
24979,THE DC OF LOXTON WAIKERIE,HALHgE,C1,5.70E-05,0.044009197,C1,80,B2,20,None,0,2,100
24980,MID MURRAY COUNCIL,LMVSXII,A4,0.000146385,0.093650098,A4,45,G1,35,H2,20,3,100
24981,MID MURRAY COUNCIL,LMVXv-,N3,0.00010438,0.090559791,N3,75,WW,25,None,0,2,100
24982,MID MURRAY COUNCIL,LMVSXII,A4,1.57E-05,0.016911864,A4,45,G1,35,H2,20,3,100
24989,MID MURRAY COUNCIL,HOHLTe,F2,0.000300712,0.269891305,F2,35,F1,30,M1,20,4,100
24993,MID MURRAY COUNCIL,SAUSSH,A4,6.63E-05,0.041780365,A4,80,B8,20,None,0,2,100
24997,THE DC OF LOXTON WAIKERIE,MINUUJ,H2,6.38E-05,0.036583396,H2,45,B2,24.75,A4,19.25,4,100
25000,THE DC OF LOXTON WAIKERIE,HALUNF,H2,5.76E-05,0.038636787,H2,65,C1,12.25,G2,10.5,5,100
25008,MID MURRAY COUNCIL,BANRBA,B3,6.58E-05,0.044174128,B3,60,H2,25,B2,15,3,100
25010,THE DC OF LOXTON WAIKERIE,HALUNF,H2,0.000277679,0.107540784,H2,65,C1,12.25,G2,10.5,5,100
25013,MID MURRAY COUNCIL,MIDJKC,D5,9.72E-05,0.048096773,D5,35,A4,30,M4,15,5,100
25014,THE DC OF LOXTON WAIKERIE,WABUMJ,H2,0.000246123,0.077308655,H2,29.25,A4,19.25,B2,16.5,7,100
25015,THE DC OF LOXTON WAIKERIE,KEKOAG,H3,5.03E-05,0.040581083,H3,52,G2,15.75,H2,13,5,100
25016,THE DC OF LOXTON WAIKERIE,HALUNK,H2,6.86E-05,0.038552107,H2,55,C1,15.75,G2,13.5,5,100
25017,MID MURRAY COUNCIL,APAHTB,D5,0.002079353,0.265138469,D5,75,H2,25,None,0,2,100
25019,THE DC OF LOXTON WAIKERIE,HALUNK,H2,0.000178888,0.083439492,H2,55,C1,15.75,G2,13.5,5,100
25020,THE DC OF LOXTON WAIKERIE,MINUNJ,H2,0.000106084,0.058039335,H2,45,G2,30.25,C1,11,5,100
25022,MID MURRAY COUNCIL,BANQJZ,B2,0.000103906,0.064840451,B2,100,None,0,None,0,1,100
25025,THE DC OF KAROONDA EAST MURRAY,BANRCE,B3,4.82E-05,0.0338185,B3,80,B2,20,None,0,2,100
25026,MID MURRAY COUNCIL,PUNGQC,H2,0.000198748,0.1149002,H2,40,A4,20,D2,20,6,100
25030,THE DC OF LOXTON WAIKERIE,HALHqA,C1,0.000343994,0.096368694,C1,55,D3,20,G2,15,4,100
25032,THE DC OF KAROONDA EAST MURRAY,BANQJA,B2,3.06E-05,0.023112911,B2,100,None,0,None,0,1,100
25033,THE DC OF KAROONDA EAST MURRAY,MANQMA,B2,0.013794334,2.296460504,B2,65,A4,20,B3,15,3,100
25036,MID MURRAY COUNCIL,TUNLVe,M1,9.50E-05,0.112154503,M1,45,F2,35,G3,20,3,100
25037,THE DC OF KAROONDA EAST MURRAY,HALUNF,H2,2.89E-05,0.036086572,H2,65,C1,12.25,G2,10.5,5,100
25038,THE DC OF KAROONDA EAST MURRAY,BANQOZ,B2,7.38E-05,0.053761412,B2,75,H2,25,None,0,2,100
25041,MID MURRAY COUNCIL,MANQHE,B2,1.29E-05,0.013428081,B2,100,None,0,None,0,1,100
25042,THE DC OF LOXTON WAIKERIE,HALUNF,H2,1.47E-05,0.020120181,H2,65,C1,12.25,G2,10.5,5,100
25043,THE DC OF KAROONDA EAST MURRAY,MANRCE,B3,3.13E-05,0.021120246,B3,55,B2,45,None,0,2,100
25045,MID MURRAY COUNCIL,NARAKD,L1,0.000703484,0.495763775,L1,55,C2,20,D1,15,4,100
25046,THE DC OF KAROONDA EAST MURRAY,KUNHkA,C1,2.67E-05,0.020436669,C1,45,D2,35,G1,20,3,100
25053,THE DC OF KAROONDA EAST MURRAY,KUNHqA,A4,4.32E-05,0.030907369,A4,35,C1,29.25,D2,22.75,4,100
25054,THE DC OF LOXTON WAIKERIE,MINUUJ,H2,5.52E-05,0.034881285,H2,45,B2,24.75,A4,19.25,4,100
25056,THE DC OF KAROONDA EAST MURRAY,BANQJZ,B2,1.90E-05,0.016411176,B2,100,None,0,None,0,1,100
25062,THE DC OF LOXTON WAIKERIE,MINUNJ,H2,0.000162873,0.088937569,H2,45,G2,30.25,C1,11,5,100
25063,THE DC OF LOXTON WAIKERIE,KEKOAE,H3,0.001291649,0.372423662,H3,60,H2,15,G2,11.25,5,100
25067,THE DC OF KAROONDA EAST MURRAY,BANQOZ,B2,0.000229688,0.111493375,B2,75,H2,25,None,0,2,100
25068,THE DC OF KAROONDA EAST MURRAY,MINGtA,G2,0.00030048,0.123092415,G2,41.25,H2,25,G1,15,5,100
25070,THE DC OF LOXTON WAIKERIE,MINUUJ,H2,0.000101546,0.065372567,H2,45,B2,24.75,A4,19.25,4,100
25072,THE DC OF LOXTON WAIKERIE,MINUNE,H2,0.000100143,0.090741178,H2,65,G2,19.25,C1,7,5,100
25073,THE DC OF KAROONDA EAST MURRAY,MINUNJ,H2,0.000286851,0.122023304,H2,45,G2,30.25,C1,11,5,100
25074,THE DC OF KAROONDA EAST MURRAY,MANRCE,B3,1.67E-05,0.015624496,B3,55,B2,45,None,0,2,100
25076,THE DC OF KAROONDA EAST MURRAY,KUNHqA,A4,3.13E-05,0.036793232,A4,35,C1,29.25,D2,22.75,4,100
25078,MID MURRAY COUNCIL,TUNLUe,F2,0.00015133,0.145724616,F2,45,M1,35,G3,20,3,100
25079,THE DC OF KAROONDA EAST MURRAY,BANRCE,B3,3.59E-05,0.027163767,B3,80,B2,20,None,0,2,100
25082,MID MURRAY COUNCIL,NOBGCB,G3,3.18E-05,0.023457398,G3,29.75,G4,25.5,G1,17,6,100
25083,THE DC OF LOXTON WAIKERIE,MINUNJ,H2,0.000461587,0.170689075,H2,45,G2,30.25,C1,11,5,100
25084,MID MURRAY COUNCIL,COHAgC,K4,0.000293671,0.082239257,K4,55,L1,45,None,0,2,100
25086,MID MURRAY COUNCIL,BANRCE,B3,6.07E-05,0.033603132,B3,80,B2,20,None,0,2,100
25087,MID MURRAY COUNCIL,RIDQHE,B2,1.43E-05,0.014250822,B2,80,A4,20,None,0,2,100
25091,THE DC OF KAROONDA EAST MURRAY,WABUMF,H2,1.85E-05,0.022714879,H2,42.25,G3,13,A4,12.25,7,100
25093,THE DC OF LOXTON WAIKERIE,HALHqA,C1,0.002895448,0.645765407,C1,55,D3,20,G2,15,4,100
25096,THE DC OF LOXTON WAIKERIE,MINUNF,H2,4.27E-05,0.033492863,H2,65,G2,19.25,C1,7,5,100
25097,MID MURRAY COUNCIL,SAUSSH,A4,0.000120035,0.069981361,A4,80,B8,20,None,0,2,100
25098,MID MURRAY COUNCIL,RIDQHE,B2,1.99E-05,0.016136944,B2,80,A4,20,None,0,2,100
25099,THE DC OF LOXTON WAIKERIE,HALHgE,C1,5.80E-05,0.037029724,C1,80,B2,20,None,0,2,100
25100,THE DC OF KAROONDA EAST MURRAY,BANQJZ,B2,8.73E-06,0.012140672,B2,100,None,0,None,0,1,100
25101,THE DC OF KAROONDA EAST MURRAY,BANRCA,B3,7.47E-05,0.047604476,B3,80,B2,20,None,0,2,100
25102,THE DC OF KAROONDA EAST MURRAY,BANRCA,B3,0.000101272,0.066984912,B3,80,B2,20,None,0,2,100
25105,THE DC OF KAROONDA EAST MURRAY,WABUMF,H2,4.92E-05,0.04286356,H2,42.25,G3,13,A4,12.25,7,100
25107,MID MURRAY COUNCIL,RIDQHA,B2,3.53E-05,0.023547742,B2,80,A4,20,None,0,2,100
25108,THE DC OF LOXTON WAIKERIE,MINQOB,B2,7.05E-06,0.01072182,B2,41.25,A4,33.75,H2,25,3,100
25109,THE DC OF KAROONDA EAST MURRAY,BANRCA,B3,8.23E-05,0.045886219,B3,80,B2,20,None,0,2,100
25112,MID MURRAY COUNCIL,LMVSXD,G1,4.85E-05,0.045661585,G1,37.5,A4,33.75,H2,28.75,3,100
25113,MID MURRAY COUNCIL,LMVSXC,G1,0.000123564,0.055388695,G1,37.5,A4,33.75,H2,28.75,3,100
25115,THE DC OF LOXTON WAIKERIE,HALHgE,C1,4.23E-05,0.025232476,C1,80,B2,20,None,0,2,100
25117,THE DC OF KAROONDA EAST MURRAY,KUNHkA,C1,2.35E-05,0.020751354,C1,45,D2,35,G1,20,3,100
25119,THE DC OF KAROONDA EAST MURRAY,HALUNK,H2,7.09E-06,0.012158301,H2,55,C1,15.75,G2,13.5,5,100
25122,THE DC OF KAROONDA EAST MURRAY,HALHqA,C1,4.19E-05,0.036398986,C1,55,D3,20,G2,15,4,100
25123,THE DC OF LOXTON WAIKERIE,MINUUG,H2,3.26E-05,0.030438096,H2,65,B2,15.75,A4,12.25,4,100
25126,THE DC OF LOXTON WAIKERIE,HALRFZ,B3,4.46E-05,0.040762395,B3,80,B2,20,None,0,2,100
25130,THE DC OF KAROONDA EAST MURRAY,BANQJZ,B2,1.52E-05,0.015493481,B2,100,None,0,None,0,1,100
25134,THE DC OF LOXTON WAIKERIE,MINGtA,G2,3.90E-05,0.027402452,G2,41.25,H2,25,G1,15,5,100
25135,THE DC OF KAROONDA EAST MURRAY,HALHgE,C1,5.51E-05,0.038159659,C1,80,B2,20,None,0,2,100
25139,MID MURRAY COUNCIL,APAEgC,A2,3.60E-05,0.028141905,A2,100,None,0,None,0,1,100
25140,THE DC OF LOXTON WAIKERIE,MINQJB,B2,7.59E-05,0.040272039,B2,55,A4,45,None,0,2,100
25141,THE DC OF LOXTON WAIKERIE,MINQOB,B2,0.000103627,0.08786257,B2,41.25,A4,33.75,H2,25,3,100
25142,THE DC OF LOXTON WAIKERIE,HALUNK,H2,0.000112574,0.09000983,H2,55,C1,15.75,G2,13.5,5,100
25144,MID MURRAY COUNCIL,PUNGQC,H2,0.001927179,0.269335111,H2,40,A4,20,D2,20,6,100
25145,THE DC OF KAROONDA EAST MURRAY,MINUNJ,H2,0.000105739,0.071301571,H2,45,G2,30.25,C1,11,5,100
25147,MID MURRAY COUNCIL,TUNCQD,K4,4.47E-05,0.02850897,K4,35,L1,30,K5,20,4,100
25148,THE DC OF LOXTON WAIKERIE,MINUNJ,H2,0.000143788,0.076659358,H2,45,G2,30.25,C1,11,5,100
25151,THE DC OF KAROONDA EAST MURRAY,MANSfB,A4,0.000145271,0.102658856,A4,50,B2,25,H2,25,3,100
25152,THE DC OF LOXTON WAIKERIE,MINUUG,H2,2.99E-05,0.032981054,H2,65,B2,15.75,A4,12.25,4,100
25153,THE DC OF KAROONDA EAST MURRAY,HALUNI,H2,0.000109541,0.089156232,H2,45,C1,19.25,G2,16.5,5,100
25157,MID MURRAY COUNCIL,LMVXg-,E3,0.000206844,0.100252719,E3,39,H2,25,N3,15,5,100
25160,MID MURRAY COUNCIL,LMVSXII,A4,0.000388237,0.187421134,A4,45,G1,35,H2,20,3,100
25161,MID MURRAY COUNCIL,NOBSYB,A4,0.000209173,0.093973764,A4,46.5,C1,38.5,G1,8.25,4,100
25164,THE DC OF LOXTON WAIKERIE,WABUMI,H2,6.29E-05,0.051727106,H2,35.75,A4,15.75,B2,13.5,7,100
25165,THE DC OF KAROONDA EAST MURRAY,KUNSkB,A4,0.000482875,0.185599031,A4,39,H2,25,C1,15.75,5,100
25169,MID MURRAY COUNCIL,COHLVE,M1,3.08E-05,0.050964974,M1,65,F1,20,F2,15,3,100
25172,MID MURRAY COUNCIL,RIDIVE,A5,4.77E-05,0.0464494,A5,40,A4,30.1,D2,29.9,3,100
25173,THE DC OF LOXTON WAIKERIE,WABSdA,A4,7.97E-05,0.054010238,A4,35,B2,30,B3,15,5,100
25178,MID MURRAY COUNCIL,PUNQMZ,B2,2.93E-05,0.023927491,B2,100,None,0,None,0,1,100
25181,THE DC OF KAROONDA EAST MURRAY,BANUUJ,B2,0.000172157,0.057705189,B2,55,H2,45,None,0,2,100
25183,THE DC OF LOXTON WAIKERIE,MINUNF,H2,5.57E-05,0.043027959,H2,65,G2,19.25,C1,7,5,100
25184,MID MURRAY COUNCIL,SAUSSH,A4,7.46E-05,0.041145921,A4,80,B8,20,None,0,2,100
25186,THE DC OF LOXTON WAIKERIE,HALHgE,C1,0.000199512,0.129782153,C1,80,B2,20,None,0,2,100
25187,THE DC OF LOXTON WAIKERIE,MINUNG,H2,0.00010516,0.057720205,H2,65,G2,19.25,C1,7,5,100
25190,THE DC OF KAROONDA EAST MURRAY,HALQOZ,B2,0.000267184,0.107485915,B2,41.25,B3,33.75,H2,25,3,100
25191,THE DC OF LOXTON WAIKERIE,HALRFZ,B3,5.05E-05,0.032732361,B3,80,B2,20,None,0,2,100
25193,MID MURRAY COUNCIL,HOHAoI,K2,0.000438353,0.181178596,K2,35,L1,30,K4,15,5,100
25194,MID MURRAY COUNCIL,RIDQHA,B2,3.95E-05,0.033578329,B2,80,A4,20,None,0,2,100
25195,MID MURRAY COUNCIL,RATAgD,L1,0.00035471,0.154627333,L1,55,K5,20,K4,15,4,100
25196,THE DC OF KAROONDA EAST MURRAY,HALOAE,H3,1.56E-05,0.01939076,H3,75,G2,25,None,0,2,100
25198,THE DC OF KAROONDA EAST MURRAY,BANUMF,H2,4.58E-05,0.039311461,H2,65,B3,14,A4,10.535,4,100
25199,THE DC OF KAROONDA EAST MURRAY,HALUNK,H2,8.57E-05,0.057696714,H2,55,C1,15.75,G2,13.5,5,100
25200,MID MURRAY COUNCIL,LMVSXI,A4,0.00020298,0.112957546,A4,45,G1,35,H2,20,3,100
25201,THE DC OF LOXTON WAIKERIE,HALUNK,H2,0.000121197,0.064253208,H2,55,C1,15.75,G2,13.5,5,100
25202,THE DC OF KAROONDA EAST MURRAY,HALOAE,H3,0.000395546,0.258337705,H3,75,G2,25,None,0,2,100
25203,MID MURRAY COUNCIL,HOHBqI,K2,0.000299247,0.124940502,K2,35,K3,30,L1,15,5,100
25205,MID MURRAY COUNCIL,MANQMA,B2,0.000358807,0.101483326,B2,65,A4,20,B3,15,3,100
25207,THE DC OF KAROONDA EAST MURRAY,KUNUMG,H2,0.000885421,0.152859684,H2,65,A4,22.75,G1,7,4,100
25209,MID MURRAY COUNCIL,MANQHE,B2,2.51E-05,0.0203613,B2,100,None,0,None,0,1,100
25213,THE DC OF LOXTON WAIKERIE,HALUNF,H2,1.56E-05,0.015258535,H2,65,C1,12.25,G2,10.5,5,100
25218,THE DC OF KAROONDA EAST MURRAY,HALUNK,H2,4.47E-05,0.028001364,H2,55,C1,15.75,G2,13.5,5,100
25220,THE DC OF KAROONDA EAST MURRAY,MANRCE,B3,1.75E-05,0.016810364,B3,55,B2,45,None,0,2,100
25223,THE DC OF LOXTON WAIKERIE,MINHtA,D3,0.000167249,0.101764469,D3,35,C1,30,G2,15,5,100
25224,THE DC OF KAROONDA EAST MURRAY,MINUNF,H2,0.000127547,0.101288988,H2,65,G2,19.25,C1,7,5,100
25227,MID MURRAY COUNCIL,HOHBqD,K2,2.30E-05,0.026092201,K2,35,K3,30,L1,15,5,100
25228,MID MURRAY COUNCIL,LMVXh-,WW,0.000479325,0.186412195,WW,65,N3,20,E3,9.75,5,100
25232,THE DC OF KAROONDA EAST MURRAY,KUNUUJ,B2,0.000225721,0.088357359,B2,55,H2,45,None,0,2,100
25233,THE DC OF KAROONDA EAST MURRAY,BANRCA,B3,0.00020531,0.131300541,B3,80,B2,20,None,0,2,100
25234,THE DC OF KAROONDA EAST MURRAY,WABUMF,H2,3.22E-05,0.037269087,H2,42.25,G3,13,A4,12.25,7,100
25235,THE DC OF LOXTON WAIKERIE,HALHqA,C1,0.000174055,0.107178159,C1,55,D3,20,G2,15,4,100
25238,MID MURRAY COUNCIL,BANQJZ,B2,5.11E-05,0.032103428,B2,100,None,0,None,0,1,100
25240,THE DC OF LOXTON WAIKERIE,WABUMI,H2,0.000175196,0.09521244,H2,35.75,A4,15.75,B2,13.5,7,100
25242,THE DC OF LOXTON WAIKERIE,WABQJA,B2,3.17E-05,0.029822403,B2,100,None,0,None,0,1,100
25245,THE DC OF KAROONDA EAST MURRAY,BANScB,A4,6.67E-05,0.050019438,A4,48.75,H2,25,B2,15,4,100
25248,THE DC OF KAROONDA EAST MURRAY,KUNHkA,C1,3.41E-05,0.025645262,C1,45,D2,35,G1,20,3,100
25249,THE DC OF KAROONDA EAST MURRAY,BANRCE,B3,4.95E-05,0.029053863,B3,80,B2,20,None,0,2,100
25250,MID MURRAY COUNCIL,RIDQJB,A4,6.33E-05,0.0404797,A4,55,B2,45,None,0,2,100
25252,MID MURRAY COUNCIL,RIDUUK,H2,4.35E-05,0.028348917,H2,55,B2,45,None,0,2,100
25253,MID MURRAY COUNCIL,LMVXh-,WW,0.000143095,0.077840911,WW,65,N3,20,E3,9.75,5,100
25256,MID MURRAY COUNCIL,SAUSGC,A4,0.000209945,0.123655641,A4,85,H2,15,None,0,2,100
